Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa,C-PF,24,TOT,46,7,20.4,3.2,6.5,0.49,0.4,1.5,0.265,2.8,5,0.557,0.52,0.8,1.2,0.625,2.3,3.6,5.9,1.3,0.6,0.7,1,1.8,7.5
1,Precious Achiuwa,C,24,TOR,25,0,17.5,3.1,6.8,0.459,0.5,1.9,0.277,2.6,4.9,0.528,0.497,1,1.7,0.571,2,3.4,5.4,1.8,0.6,0.5,1.2,1.6,7.7
1,Precious Achiuwa,PF,24,NYK,21,7,23.9,3.2,6.1,0.531,0.2,1,0.238,3,5.1,0.589,0.551,0.5,0.7,0.786,2.6,3.9,6.5,0.8,0.6,1,0.8,2,7.2
2,Bam Adebayo,C,26,MIA,43,43,34.5,7.6,15,0.505,0,0.3,0.091,7.6,14.8,0.513,0.506,5,6.4,0.78,2.2,8.3,10.6,4,1,1,2.4,2.5,20.3
3,Ochai Agbaji,SG,23,TOT,52,10,19.7,2.1,5,0.422,0.9,2.8,0.32,1.2,2.1,0.559,0.514,0.3,0.4,0.739,0.7,1.8,2.5,0.9,0.5,0.6,0.7,1.3,5.4
3,Ochai Agbaji,SG,23,UTA,51,10,19.7,2.1,4.9,0.426,0.9,2.8,0.331,1.2,2.1,0.551,0.52,0.3,0.4,0.75,0.7,1.8,2.5,0.9,0.5,0.6,0.7,1.3,5.4
3,Ochai Agbaji,SG,23,TOR,1,0,19,3,9,0.333,0,5,0,3,4,0.75,0.333,2,3,0.667,0,2,2,0,0,0,1,3,8
4,Santi Aldama,PF,23,MEM,41,15,24.6,4,9.3,0.433,1.7,4.9,0.35,2.3,4.5,0.525,0.525,0.9,1.4,0.603,1.2,4.5,5.7,2,0.7,0.7,1.1,1.5,10.7
5,Nickeil Alexander-Walker,SG,25,MIN,52,16,23,2.4,5.8,0.417,1.4,3.8,0.36,1,2,0.529,0.536,0.5,0.7,0.757,0.4,1.5,1.9,2.5,0.9,0.5,0.9,1.9,6.8
6,Grayson Allen,SG,28,PHO,47,47,32.9,4.3,8.4,0.511,2.6,5.2,0.49,1.7,3.2,0.547,0.663,1.6,1.8,0.884,0.6,3.4,4,3.1,0.9,0.6,1.3,2.1,12.8
7,Jarrett Allen,C,25,CLE,46,46,30.5,6.4,9.9,0.644,0,0.1,0,6.4,9.8,0.65,0.644,2.8,3.7,0.747,3.6,7.1,10.6,2.8,0.8,1.2,1.8,2.3,15.5
8,Jose Alvarado,PG,25,NOP,35,0,16.5,2.5,5.9,0.417,1.3,3.4,0.367,1.2,2.5,0.488,0.524,0.7,1,0.657,0.4,1.7,2.1,1.8,1.1,0.3,0.7,1.4,6.8
9,Kyle Anderson,PF,30,MIN,52,2,21.9,2.4,5.1,0.472,0.1,0.6,0.194,2.3,4.5,0.509,0.483,1.2,1.8,0.681,0.8,2.7,3.5,4,0.8,0.6,1.3,1.5,6.2
10,Giannis Antetokounmpo,PF,29,MIL,51,51,35,11.5,18.9,0.609,0.5,1.8,0.25,11,17.1,0.646,0.62,7.3,11.1,0.657,2.5,8.7,11.2,6.3,1.4,1.1,3.5,3.1,30.7
11,Thanasis Antetokounmpo,PF,31,MIL,21,0,4.5,0.5,0.9,0.526,0,0,0,0.5,0.9,0.556,0.526,0,0,0,0.2,0.2,0.4,0.5,0.1,0.2,0.4,0.8,1
12,Cole Anthony,PG,23,ORL,52,0,23.1,4.1,9.4,0.432,1.1,3.3,0.326,3,6.1,0.489,0.489,2.8,3.3,0.838,0.9,3.2,4.1,3.1,0.8,0.4,1.8,2.5,12
13,OG Anunoby,SF,26,TOT,41,41,34.1,5.8,11.7,0.498,2.1,5.5,0.379,3.7,6.1,0.606,0.588,1.6,2,0.774,1,3.2,4.2,2.3,1.3,0.7,1.5,2.3,15.3
13,OG Anunoby,SF,26,TOR,27,27,33.3,5.8,11.9,0.489,2.3,6,0.374,3.6,5.9,0.608,0.584,1.2,1.7,0.717,0.9,3,3.9,2.7,1,0.5,1.6,2.3,15.1
13,OG Anunoby,SF,26,NYK,14,14,35.7,5.8,11.2,0.516,1.8,4.6,0.391,4,6.6,0.602,0.596,2.3,2.7,0.842,1.1,3.6,4.6,1.5,1.8,1.1,1.4,2.4,15.6
14,Ryan Arcidiacono,PG,29,NYK,20,0,2.3,0,0.3,0,0,0.3,0,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.1,0,0.1,0.3,0
15,Deni Avdija,SF,23,WAS,52,52,27.8,4.8,9.4,0.515,1.1,2.7,0.393,3.8,6.7,0.565,0.572,2.3,3,0.747,1,5.4,6.4,3.8,0.8,0.4,1.9,2.5,13
